time,v1,v2,i12
0,-6.66666666666667,3.33333333333333,6.66666666666667
5e-05,-6.6658442165444,3.3329221082722,6.6658442165444
0.0001,-6.66337706910488,3.33168853455244,6.66337706910488
0.00015,-6.6592658330798,3.3296329165399,6.6592658330798
0.0002,-6.65351152285514,3.32675576142757,6.65351152285514
0.00025,-6.64611555822085,3.32305777911043,6.64611555822085
0.0003,-6.63707976402053,3.31853988201027,6.63707976402053
0.00035,-6.6264063697012,3.3132031848506,6.6264063697012
0.0004,-6.61409800876319,3.30704900438159,6.61409800876319
0.00045,-6.60015771811038,3.30007885905519,6.60015771811038
0.0005,-6.58458893730092,3.29229446865046,6.58458893730092
0.00055,-6.56739550769849,3.28369775384925,6.56739550769849
0.0006,-6.54858167152459,3.2742908357623,6.54858167152459
0.00065,-6.52815207081177,3.26407603540589,6.52815207081177
0.0007,-6.50611174625832,3.25305587312916,6.50611174625832
0.00075,-6.48246613598451,3.24123306799226,6.48246613598451
0.0008,-6.45722107419088,3.22861053709544,6.45722107419088
0.00085,-6.43038278971865,3.21519139485933,6.43038278971865
0.0009,-6.40195790451295,3.20097895225648,6.40195790451295
0.00095,-6.37195343198887,3.18597671599443,6.37195343198887
0.001,-6.34037677530102,3.17018838765051,6.34037677530102
0.00105,-6.30723572551697,3.15361786275848,6.30723572551697
0.0011,-6.27253845969484,3.13626922984742,6.27253845969484
0.00115,-6.23629353886578,3.11814676943289,6.23629353886578
0.0012,-6.19850990592168,3.09925495296084,6.19850990592168
0.00125,-6.15919688340858,3.07959844170429,6.15919688340858
0.0013,-6.11836417122654,3.05918208561327,6.11836417122654
0.00135,-6.0760218442363,3.03801092211815,6.0760218442363
0.0014,-6.03218034977346,3.01609017488673,6.03218034977346
0.00145,-5.98685050507077,2.99342525253539,5.98685050507077
0.0015,-5.94004349458912,2.97002174729456,5.94004349458912
0.00155,-5.89177086725796,2.94588543362898,5.89177086725796
0.0016,-5.84204453362576,2.92102226681288,5.84204453362576
0.00165,-5.79087676292127,2.89543838146064,5.79087676292127
0.0017,-5.73828018002629,2.86914009001315,5.73828018002629
0.00175,-5.68426776236062,2.84213388118031,5.68426776236062
0.0018,-5.6288528366801,2.81442641834005,5.6288528366801
0.00185,-5.57204907578847,2.78602453789423,5.57204907578847
0.0019,-5.51387049516374,2.75693524758187,5.51387049516374
0.00195,-5.45433144950016,2.72716572475008,5.45433144950016
0.002,-5.39344662916632,2.69672331458316,5.39344662916632
0.00205,-5.3312310565806,2.6656155282903,5.3312310565806
0.0021,-5.2677000825046,2.6338500412523,5.2677000825046
0.00215,-5.20286938225553,2.60143469112777,5.20286938225553
0.0022,-5.13675495183859,2.5683774759193,5.13675495183859
0.00225,-5.06937310400021,2.5346865520001,5.06937310400021
0.0023,-5.00074046420306,2.50037023210153,5.00074046420306
0.00235,-4.93087396652406,2.46543698326203,4.93087396652406
0.0024,-4.85979084947608,2.42989542473804,4.85979084947608
0.00245,-4.78750865175459,2.3937543258773,4.78750865175459
0.0025,-4.71404520791032,2.35702260395516,4.71404520791032
0.00255,-4.63941864394876,2.31970932197438,4.63941864394876
0.0026,-4.56364737285792,2.28182368642896,4.56364737285792
0.00265,-4.48675009006516,2.24337504503258,4.48675009006516
0.0027,-4.40874576882435,2.20437288441217,4.40874576882435
0.00275,-4.32965365553456,2.16482682776728,4.32965365553456
0.0028,-4.24949326499127,2.12474663249563,4.24949326499127
0.00285,-4.16828437557137,2.08414218778568,4.16828437557137
0.0029,-4.08604702435318,2.04302351217659,4.08604702435318
0.00295,-4.00280150217256,2.00140075108628,4.00280150217256
0.003,-3.91856834861649,1.95928417430824,3.91856834861649
0.00305,-3.83336834695519,1.9166841734776,3.83336834695519
0.0031,-3.7472225190142,1.8736112595071,3.7472225190142
0.00315,-3.66015211998754,1.83007605999377,3.66015211998754
0.0032,-3.57217863319331,1.78608931659666,3.57217863319331
0.00325,-3.48332376477299,1.7416618823865,3.48332376477299
0.0033,-3.39360943833581,1.6968047191679,3.39360943833581
0.00335,-3.30305778954938,1.65152889477469,3.30305778954938
0.0034,-3.2116911606781,1.60584558033905,3.2116911606781
0.00345,-3.11953209507049,1.55976604753524,3.11953209507049
0.0035,-3.02660333159698,1.51330166579849,3.02660333159698
0.00355,-2.93292779903944,1.46646389951972,2.93292779903944
0.0036,-2.83852861043382,1.41926430521691,2.83852861043382
0.00365,-2.74342905736739,1.3717145286837,2.74342905736739
0.0037,-2.64765260423187,1.32382630211594,2.64765260423187
0.00375,-2.55122288243393,1.27561144121696,2.55122288243393
0.0038,-2.45416368456452,1.22708184228226,2.45416368456452
0.00385,-2.35649895852838,1.17824947926419,2.35649895852838
0.0039,-2.25825280163528,1.12912640081764,2.25825280163528
0.00395,-2.15944945465433,1.07972472732716,2.15944945465433
0.004,-2.06011329583298,1.03005664791649,2.06011329583298
0.00405,-1.96026883488203,0.980134417441014,1.96026883488203
0.0041,-1.85994070692819,0.929970353464097,1.85994070692819
0.00415,-1.75915366643582,0.879576833217909,1.75915366643582
0.0042,-1.65793258109903,0.828966290549515,1.65793258109903
0.00425,-1.55630242570603,0.778151212853017,1.55630242570603
0.0043,-1.45428827597695,0.727144137988474,1.45428827597695
0.00435,-1.35191530237675,0.675957651188374,1.35191530237675
0.0044,-1.24920876390483,0.624604381952415,1.24920876390483
0.00445,-1.14619400186273,0.573097000931365,1.14619400186273
0.0045,-1.04289643360154,0.52144821680077,1.04289643360154
0.00455,-0.939341546250552,0.469670773125276,0.939341546250552
0.0046,-0.835554890428697,0.417777445214348,0.835554890428697
