time,e1,e2,e3,i0
0,10,5,5,-5
0.001,9.51056516295153,5.50568893389698,1.0032508193697,-4.00487622905456
0.002,8.09016994374947,6.28057259254576,-1.12910231211066,-1.80959735120372
0.003,5.87785252292473,6.27193962407589,-1.8454904056068,0.394087101151158
0.004,3.09016994374948,5.15683662109847,-1.73021651933416,2.06666667734899
0.005,1.33226762955019e-15,3.07142711394434,-1.24657913084162,3.07142711394434
0.006,-3.09016994374947,0.373470516517734,-0.677001941162451,3.46364046026721
0.007,-5.87785252292473,-2.51788433357305,-0.156552466443797,3.35996818935168
0.008,-8.09016994374947,-5.21171673481214,0.268825831461628,2.87845320893734
0.009,-9.51056516295153,-7.38777743588021,0.593385598397884,2.12278772707132
0.01,-10,-8.81364763706165,0.822085442221278,1.18635236293835
0.011,-9.51056516295154,-9.35060241299827,0.958288222730477,0.159962749953272
0.012,-8.09016994374948,-8.9544610942465,1.00226534121036,-0.864291150497029
0.013,-5.87785252292473,-7.67269898009928,0.9544586515218,-1.79484645717455
0.014,-3.09016994374948,-5.63692804231567,0.819427311435031,-2.5467580985662
0.015,-2.44249065417534e-15,-3.04969504601541,0.608433735444487,-3.04969504601541
0.016,3.09016994374947,-0.16541620443381,0.340071979926743,-3.25558614818328
0.017,5.87785252292474,2.73358433584462,0.0391453525734718,-3.14426818708012
0.018,8.09016994374948,5.3639881556877,-0.2656758151544,-2.72618178806178
0.019,9.51056516295153,7.46880050364175,-0.544836690886131,-2.04176465930979
0.02,10,8.84233731739117,-0.771013548096015,-1.15766268260883
0.021,9.51056516295153,9.35033627344485,-0.921960378100098,-0.160228889506689
0.022,8.09016994374947,8.94313998998532,-0.982786083195053,0.852970046235841
0.023,5.87785252292473,7.66060938303085,-0.947453236978536,1.78275686010612
0.024,3.09016994374946,5.62826274711166,-0.819375041163567,2.5380928033622
0.025,3.5527136788005e-15,3.04501303466819,-0.611071834591846,3.04501303466819
0.026,-3.09016994374949,0.163706844215253,-0.342933113728318,3.25387678796474
0.027,-5.87785252292473,-2.73362441171566,-0.0412119200723255,3.14422811120907
0.028,-8.09016994374947,-5.36337386808015,0.264550717002386,2.72679607566933
0.029,-9.51056516295153,-7.46812354934476,0.544419880375829,2.04244161360678
0.03,-10,-8.84184455415116,0.770997405297235,1.15815544584884
0.031,-9.51056516295154,-9.35006597237753,0.922103305282297,0.160499190574013
0.032,-8.09016994374948,-8.94303842085128,0.982946213544644,-0.852868477101805
0.033,-5.87785252292472,-7.66060396283547,0.947570713054178,-1.78275143991075
0.034,-3.09016994374946,-5.62829597502973,0.819439965264406,-2.53812603128027
0.035,1.28785870856518e-14,-3.04505090327048,0.611096569748281,-3.04505090327049
0.036,3.09016994374949,-0.163734845818466,0.34293478078107,-3.25390478956795
0.037,5.87785252292473,2.73360882099,0.0412042018382026,-3.14424370193472
0.038,8.09016994374947,5.36336784791529,-0.264559670120961,-2.72680209583418
0.039,9.51056516295153,7.46812306252324,-0.544426553644245,-2.04244210042829
0.04,10,8.84184634532986,-0.771001148386847,-1.15815365467014
0.041,9.51056516295153,9.35006808857824,-0.922104769660183,-0.160497074373294
0.042,8.09016994374947,8.94304001092178,-0.982946350917132,0.852870067172313
0.043,5.87785252292472,7.66060486129574,-0.947570297771512,1.78275233837102
0.044,3.09016994374948,5.62829633103676,-0.819439465201346,2.53812638728728
0.045,5.99520433297585e-15,3.04505094110102,-0.611096190942939,3.04505094110101
0.046,-3.09016994374945,0.163734749633286,-0.342934565168796,3.25390469338274
0.047,-5.87785252292473,-2.73360893912427,-0.0412041153347479,3.14424358380046
0.048,-8.09016994374948,-5.3633679381425,0.264559680350738,2.72680200560698
0.049,-9.51056516295155,-7.46812311425475,0.544426531390372,2.04244204869679
0.05,-10,-8.84184636633794,0.771001120486611,1.15815363366206
0.051,-9.51056516295154,-9.3500680913056,0.922104748172951,0.160497071645939
0.052,-8.09016994374947,-8.9430400057789,0.9829463385079,-0.852870062029435
0.053,-5.87785252292471,-7.66060485470826,0.947570292672045,-1.78275233178355
0.054,-3.0901699437495,-5.6282963259206,0.81943946448238,-2.5381263821711
0.055,-7.32747196252603e-15,-3.04505093812494,0.611096192130017,-3.04505093812494
0.056,3.09016994374948,-0.163734748396021,0.342934566723718,-3.2539046921455
0.057,5.87785252292475,2.73360893931206,0.0412041165526991,-3.14424358361269
0.058,8.09016994374946,5.36336793786885,-0.264559679637158,-2.72680200588061
0.059,9.51056516295153,7.46812311388783,-0.544426531090327,-2.0424420490637
0.06,10,8.84184636604805,-0.771001120437938,-1.15815363395195
0.061,9.51056516295153,9.35006809113452,-0.922104748235944,-0.160497071817005
0.062,8.09016994374949,8.94304000570618,-0.982946338594445,0.85287006195669
0.063,5.87785252292474,7.66060485469575,-0.947570292741028,1.78275233177101
0.064,3.09016994374947,5.62829632593507,-0.819439464523404,2.5381263821856
0.065,-2.66453525910038e-14,3.04505093814534,-0.611096192147646,3.04505093814537
0.066,-3.09016994374952,0.163734748412414,-0.342934566726924,3.25390469216193
0.067,-5.87785252292472,-2.73360893930223,-0.0412041165493525,3.1442435836225
0.068,-8.09016994374948,-5.3633679378646,0.264559679641961,2.72680200588488
0.069,-9.51056516295154,-7.46812311388703,0.544426531094229,2.04244204906451
0.07,-10,-8.84184636604881,0.771001120440296,1.15815363395119
0.071,-9.51056516295154,-9.35006809113567,0.922104748236974,0.160497071815873
0.072,-8.09016994374947,-8.9430400057071,0.982946338594661,-0.852870061957631
0.073,-5.87785252292477,-7.66060485469633,0.947570292740839,-1.78275233177156
