time,e1,e2
0,10,8.33333333333333
0.001,9.42960846103058,7.85800705085881
0.002,7.93685298580005,6.61404415483338
0.003,5.66784930542853,4.72320775452377
0.004,2.84469778006372,2.37058148338643
0.005,-0.256257332218446,-0.213547776848705
0.006,-3.33147837717876,-2.7762319809823
0.007,-6.07994668526053,-5.0666222377171
0.008,-8.2326283766606,-6.86052364721716
0.009,-9.57880927232522,-7.98234106027101
0.01,-9.98672106629609,-8.32226755524674
0.011,-9.41643972594662,-7.84703310495552
0.012,-7.92379353482468,-6.60316127902057
0.013,-5.65489823163966,-4.71241519303305
0.014,-2.83185418406564,-2.35987848672137
0.015,0.268994342357619,0.224161951964682
0.016,3.34410968598898,2.78675807165749
0.017,6.09247316993124,5.0770609749427
0.018,8.24505090710168,6.87087575591807
0.019,9.59112871122737,7.99260725935614
0.02,9.99893826919076,8.33244855765897
0.021,9.42855554126539,7.85712961772116
0.022,7.93580880395823,6.61317400329853
0.023,5.66681378899618,4.72234482416349
0.024,2.84367085712872,2.36972571427394
0.025,-0.257275732971389,-0.214396444142824
0.026,-3.33248832647319,-2.77707360539433
0.027,-6.08094825323299,-5.06745687769416
0.028,-8.23362163286566,-6.86135136072138
0.029,-9.5797942857402,-7.9831619047835
0.03,-9.98769790532589,-8.32308158777157
0.031,-9.41740845842845,-7.84784038202371
0.032,-7.9247542280328,-6.603961856694
0.033,-5.65585095229003,-4.71320912690836
0.034,-2.83279899832056,-2.3606658319338
0.035,0.268057368884895,0.223381140737413
0.036,3.34318048822972,2.78598374019144
0.037,6.09155168335669,5.07629306946391
0.038,8.24413706771862,6.87011422309885
0.039,9.59022245557363,7.99185204631136
0.04,9.99803953433083,8.33169961194236
0.041,9.42766426478604,7.8563868873217
0.042,7.93492492396418,6.61243743663682
0.043,5.66593724410581,4.72161437008818
0.044,2.84280158646984,2.3690013220582
0.045,-0.258137789765902,-0.215114824804918
0.046,-3.33334322926938,-2.77778602439115
0.047,-6.0817960614002,-5.06816338450016
0.048,-8.23446240528045,-6.86205200440038
0.049,-9.58062808079055,-7.98385673399212
0.05,-9.98852478091523,-8.32377065076269
0.051,-9.41822847197971,-7.84852372664976
0.052,-7.92556743649234,-6.60463953041028
0.053,-5.65665741213164,-4.71388117677637
0.054,-2.83359876554943,-2.36133230462452
0.055,0.267264238728481,0.222720198940401
0.056,3.34239394006633,2.78532828338861
0.057,6.09077166256397,5.07564305213664
0.058,8.24336352012746,6.86946960010622
0.059,9.58945532746457,7.99121277288714
0.06,9.99727877243014,8.33106564369178
0.061,9.42690981626212,7.85575818021843
0.062,7.93417673642389,6.61181394701991
0.063,5.66519526559074,4.72099605465895
0.064,2.84206576545279,2.36838813787732
0.065,-0.258867504384488,-0.215722920320407
0.066,-3.33406688816502,-2.77838907347085
0.067,-6.08251371482776,-5.06876142902313
0.068,-8.23517410307791,-6.86264508589826
0.069,-9.58133387238222,-7.98444489365185
0.07,-9.98922471531527,-8.32435392942939
0.071,-9.41892259779551,-7.8491021648296
0.072,-7.92625580192793,-6.60521316827328
0.073,-5.65734006499107,-4.71445005415922
0.074,-2.83427575323984,-2.3618964610332
0.075,0.26659286919318,0.22216072432765
0.076,3.34172814206244,2.7847734517187
0.077,6.09011138985472,5.07509282487893
0.078,8.24270872685979,6.86892393904982
0.079,9.58880596816592,7.99067164013827
0.08,9.99663480200534,8.33052900167112
0.081,9.42627118999022,7.85522599165852
0.082,7.93354340995504,6.61128617496253
0.083,5.66456719494325,4.72047266245271
0.084,2.84144290700984,2.36786908917487
0.085,-0.259485193877703,-0.216237661564753
0.086,-3.33467945160435,-2.77889954300363
0.087,-6.08312119475313,-5.06926766229427
0.088,-8.23577654167604,-6.86314711806336
0.089,-9.58193131148989,-7.98494275957491
0.09,-9.98981719642207,-8.32484766368506
0.091,-9.41951016204666,-7.84959180170555
0.092,-7.9268384901272,-6.60569874177266
0.093,-5.65791791760356,-4.71493159800297
0.094,-2.83484881039502,-2.36237400866252
0.095,0.266024567699036,0.221687139749197
0.096,3.34116455676327,2.78430379730272
0.097,6.08955248161198,5.07462706800998
0.098,8.24215445685976,6.86846204738313
0.099,9.58825629791689,7.99021358159741
0.1,9.99608969333514,8.33007474444595
0.101,9.42573060504342,7.85477550420285
0.102,7.93300731119037,6.61083942599198
0.103,5.66403554513093,4.72002962094245
0.104,2.84091566922915,2.36742972435763
0.105,-0.260008056241056,-0.21667338020088
0.106,-3.33519797486095,-2.77933164571746
0.107,-6.08363541491211,-5.06969617909342
0.108,-8.23628649444786,-6.86357207870655
0.109,-9.58243703228853,-7.98536419357377
0.11,-9.99031872036759,-8.32526560030632
0.111,-9.42000752396771,-7.85000626997309
0.112,-7.92733172456345,-6.60610977046954
0.113,-5.65840705880798,-4.71533921567331
0.114,-2.83533389233626,-2.36277824361355
0.115,0.265543511334072,0.22128625944506
0.116,3.34068749256724,2.78390624380603
0.117,6.08907937645492,5.07423281371243
0.118,8.24168527788657,6.86807106490548
0.119,9.58779101254516,7.98982584378764
0.12,9.99562826925279,8.32969022437732
0.121,9.42527301020657,7.85439417517214
0.122,7.93255351382104,6.61046126151754
0.123,5.66358551371493,4.71965459476245
0.124,2.84046937251371,2.36705781042809
0.125,-0.260450649249382,-0.217042207707818
0.126,-3.33563689489826,-2.77969741241521
0.127,-6.08407069245953,-5.07005891038294
0.128,-8.23671815973343,-6.86393179977786
0.129,-9.58286511528956,-7.98572092940797
0.13,-9.9907432508126,-8.32561937567716
0.131,-9.42042853133849,-7.85035710944874
0.132,-7.92774923809708,-6.60645769841424
0.133,-5.65882110749905,-4.71568425624921
0.134,-2.83574450493862,-2.36312042078218
0.135,0.265136306305181,0.220946921920984
0.136,3.34028366683326,2.78356972236105
0.137,6.08867890197178,5.07389908497648
0.138,8.24128812684313,6.86774010570261
0.139,9.587397157361,7.98949763113417
0.14,9.99523768257638,8.32936473548031
0.141,9.42488566491335,7.85407138742779
0.142,7.9321693830116,6.61014115250967
0.143,5.66320457071299,4.71933714226082
0.144,2.84009159086447,2.36674299238705
0.145,-0.26082529578114,-0.21735441315095
0.146,-3.3360084323301,-2.78000702694175
0.147,-6.08443914659319,-5.07036595549433
0.148,-8.23708355615649,-6.86423629679708
0.149,-9.58322747937717,-7.98602289948098
0.15,-9.99110260772935,-8.32591883977446
0.151,-9.42078490604019,-7.85065408836683
0.152,-7.9281026553324,-6.606752212777
0.153,-5.65917159181121,-4.71597632650935
0.154,-2.83609208066728,-2.36341006722273
0.155,0.264791615022402,0.220659679185335
0.156,3.33994183605898,2.78328486338249
0.157,6.08833990796748,5.0736165899729
0.158,8.24095194606709,6.8674599550559
0.159,9.58706376646692,7.9892198053891
0.16,9.99490705841171,8.32908921534309
0.161,9.4245577845177,7.85379815376475
0.162,7.93184422361507,6.60987018634589
0.163,5.66288210973468,4.7190684247789
0.164,2.83977180591088,2.36647650492573
0.165,-0.261142426917688,-0.217618689098073
0.166,-3.33632293167305,-2.78026910972754
0.167,-6.08475103598308,-5.07062586331924
0.168,-8.23739285725268,-6.86449404771056
0.169,-9.58353421365926,-7.98627851138271
0.17,-9.9914067964987,-8.32617233041559
0.171,-9.42108657042139,-7.85090547535116
0.172,-7.92840181627474,-6.60700151356228
0.173,-5.65946827009011,-4.71622355840843
0.174,-2.83638629688576,-2.3636552474048
0.175,0.264499840432222,0.220416533693518
0.176,3.3396524828347,2.78304373569558
0.177,6.08805295601476,5.07337746334564
0.178,8.24066737545833,6.86722281288194
0.179,9.58678155744,7.9889846312
0.18,9.99462719136844,8.32885599280703
0.181,9.42428024002251,7.85356686668542
0.182,7.9315689823937,6.60964081866141
0.183,5.66260915267288,4.71884096056074
0.184,2.83950111405292,2.36625092837743
0.185,-0.26141087237025,-0.217842393641875
0.186,-3.33658914936252,-2.7804909578021
0.187,-6.08501504439712,-5.07084587033094
0.188,-8.23765467472548,-6.8647122289379
0.189,-9.58379385837297,-7.98649488197748
0.19,-9.99166428648453,-8.32638690540377
0.191,-9.42134192356086,-7.85111826963405
0.192,-7.92865505030101,-6.60721254191751
0.193,-5.65971940258926,-4.71643283549105
0.194,-2.83663534529779,-2.36386278774816
0.195,0.264252858812064,0.22021071567672
0.196,3.33940755085461,2.78283962571217
0.197,6.08781005666521,5.073175047221
0.198,8.240426491871,6.86702207655916
0.199,9.58654267288657,7.98878556073881
0.2,9.99439028925941,8.32865857438284
0.201,9.42404530390606,7.85337108658839
0.202,7.93133599595463,6.60944666329553
0.203,5.66237809973119,4.71864841644266
0.204,2.83927197856303,2.36605998213586
0.205,-0.261638106320803,-0.218031755267336
0.206,-3.33681449755415,-2.78067874796179
0.207,-6.08523852247928,-5.07103210206606
0.208,-8.23787629821778,-6.86489691518149
0.209,-9.5840136426661,-7.98667803555509
0.21,-9.99188224684164,-8.3265685390347
0.211,-9.42155807511835,-7.85129839593196
0.212,-7.92886940806967,-6.60739117339139
0.213,-5.65993198145534,-4.71660998454612
0.214,-2.83684616002392,-2.3640384666866
0.215,0.264043793585723,0.220036494654769
0.216,3.33920022060941,2.78266685050784
0.217,6.08760444700297,5.07300370583581
0.218,8.24022258851309,6.86685215709424
0.219,9.58634046167273,7.98861705139394
0.22,9.99418975614695,8.32849146345579
0.221,9.42384643496883,7.85320536247403
0.222,7.93113877738196,6.60928231448497
0.223,5.66218251782728,4.71848543152273
0.224,2.83907801974547,2.36589834978789
0.225,-0.261830455521621,-0.218192046268018
0.226,-3.33700525049604,-2.7808377087467
0.227,-6.08542769240921,-5.07118974367434
0.228,-8.2380638982728,-6.86505324856067
0.229,-9.58419968587426,-7.98683307156188
0.23,-9.99206674612273,-8.32672228843561
0.231,-9.42174104328505,-7.85145086940421
0.232,-7.92905085782841,-6.60754238152368
0.233,-5.66011192540686,-4.71675993783905
0.234,-2.83702461066463,-2.36418717555386
0.235,0.263866823863196,0.219889019885997
0.236,3.33902471951528,2.78252059959607
0.237,6.08743040234945,5.07285866862454
0.238,8.24004998821352,6.86670832351127
0.239,9.58616929374077,7.98847441145064
0.24,9.99402000869574,8.32835000724645
0.241,9.42367809621019,7.85306508017516
0.242,7.93097183562548,6.60914319635457
0.243,5.66201696147947,4.71834746789956
0.244,2.83891383730924,2.36576153109104
0.245,-0.261993275448002,-0.218327729540002
0.246,-3.33716671921958,-2.78097226601631
0.247,-6.08558782114335,-5.07132318428613
0.248,-8.23822269813779,-6.86518558178149
0.249,-9.58435716789806,-7.98696430658172
0.25,-9.9922229212418,-8.32685243436817
0.251,-9.42189592234507,-7.85157993528756
0.252,-7.92920445158496,-6.6076703763208
0.253,-5.66026424452641,-4.71688687043868
0.254,-2.83717566572509,-2.36431305477091
0.255,0.263717022371569,0.219764185309641
0.256,3.33887616118956,2.7823968009913
0.257,6.08728307687292,5.0727358973941
0.258,8.23990388535507,6.86658657112922
0.259,9.58602440335419,7.98835366946183
0.26,9.99387632071903,8.32823026726586
0.261,9.4235356006648,7.85294633388733
0.262,7.93083052261572,6.6090254355131
0.263,5.66187682119176,4.71823068432647
0.264,2.83877486001147,2.36564571667623
0.265,-0.262131099407066,-0.218442582839222
0.266,-3.33730339941148,-2.78108616617624
0.267,-6.0857233670598,-5.0714361392165
0.268,-8.23835711919184,-6.86529759932654
0.269,-9.58449047342468,-7.98707539452057
0.27,-9.99235512049846,-8.32696260041539
0.271,-9.42202702451244,-7.8516891870937
0.272,-7.92933446576753,-6.60777872147294
0.273,-5.66039317975309,-4.71699431646091
0.274,-2.83730353095001,-2.36441960912501
0.275,0.263590218268984,0.219658515224153
0.276,3.33875040940318,2.78229200783598
0.277,6.08715836866981,5.07263197389151
0.278,8.23978021207479,6.86648351006233
0.279,9.58590175640818,7.98825146367348
0.28,9.99375469158997,8.32812890965831
0.281,9.42341498090609,7.85284581742174
0.282,7.93071090385084,6.60892575320903
0.283,5.66175819511371,4.71813182926143
0.284,2.83865721838233,2.36554768198527
0.285,-0.262247764757271,-0.218539803964393
0.286,-3.3374190965845,-2.78118258048709
0.287,-6.0858381040903,-5.07153175340858
0.288,-8.2384709040478,-6.86539242003983
0.289,-9.58460331400791,-7.98716942833992
0.29,-9.99246702464534,-8.32705585387112
0.291,-9.42213799999427,-7.85178166666189
0.292,-7.92944452029105,-6.60787043357588
0.293,-5.66050232096112,-4.7170852674676
0.294,-2.83741176642177,-2.36450980535147
0.295,0.263482881016906,0.219569067514089
0.296,3.33864396291668,2.78220330243057
0.297,6.08705280555666,5.07254400463055
0.298,8.23967552500409,6.86639627083674
0.299,9.58579793810986,7.98816494842489
0.3,9.99365173485432,8.3280431123786
