time,e1,e2,e3,e4,i1,i2
0,10,6.25,8.75,20,-3.75,-11.25
0.001,9.51056516295154,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.002,8.09016994374947,5.05635621484342,7.07889870078079,16.1803398874989,-3.03381372890605,-9.10144118671816
0.003,5.87785252292473,3.67365782682796,5.14312095755914,11.7557050458495,-2.20419469609678,-6.61258408829032
0.004,3.09016994374947,1.93135621484342,2.70389870078079,6.18033988749895,-1.15881372890605,-3.47644118671816
0.005,1.22464679914735e-15,7.65404249467096e-16,1.07156594925393e-15,2.44929359829471e-15,-4.59242549680257e-16,-1.37772764904077e-15
0.006,-3.09016994374947,-1.93135621484342,-2.70389870078079,-6.18033988749895,1.15881372890605,3.47644118671816
0.007,-5.87785252292473,-3.67365782682796,-5.14312095755914,-11.7557050458495,2.20419469609677,6.61258408829032
0.008,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.009,-9.51056516295153,-5.94410322684471,-8.32174451758259,-19.0211303259031,3.56646193610683,10.6993858083205
0.01,-10,-6.25,-8.75,-20,3.75,11.25
0.011,-9.51056516295154,-5.94410322684471,-8.32174451758259,-19.0211303259031,3.56646193610683,10.6993858083205
0.012,-8.09016994374948,-5.05635621484342,-7.07889870078079,-16.180339887499,3.03381372890605,9.10144118671816
0.013,-5.87785252292473,-3.67365782682795,-5.14312095755913,-11.7557050458495,2.20419469609677,6.61258408829032
0.014,-3.09016994374948,-1.93135621484342,-2.70389870078079,-6.18033988749895,1.15881372890605,3.47644118671816
0.015,-2.44929359829471e-15,-1.53080849893419e-15,-2.14313189850787e-15,-4.89858719658941e-15,9.18485099360515e-16,2.75545529808154e-15
0.016,3.09016994374947,1.93135621484342,2.70389870078079,6.18033988749894,-1.15881372890605,-3.47644118671816
0.017,5.87785252292474,3.67365782682796,5.14312095755914,11.7557050458495,-2.20419469609678,-6.61258408829033
0.018,8.09016994374948,5.05635621484342,7.07889870078079,16.180339887499,-3.03381372890605,-9.10144118671816
0.019,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.02,10,6.25,8.75,20,-3.75,-11.25
0.021,9.51056516295154,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.022,8.09016994374948,5.05635621484342,7.07889870078079,16.180339887499,-3.03381372890605,-9.10144118671816
0.023,5.87785252292473,3.67365782682796,5.14312095755914,11.7557050458495,-2.20419469609678,-6.61258408829033
0.024,3.09016994374946,1.93135621484341,2.70389870078078,6.18033988749892,-1.15881372890605,-3.47644118671814
0.025,3.67394039744206e-15,2.29621274840129e-15,3.2146978477618e-15,7.34788079488412e-15,-1.37772764904077e-15,-4.13318294712232e-15
0.026,-3.09016994374949,-1.93135621484343,-2.7038987007808,-6.18033988749897,1.15881372890606,3.47644118671817
0.027,-5.87785252292473,-3.67365782682796,-5.14312095755914,-11.7557050458495,2.20419469609677,6.61258408829032
0.028,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.029,-9.51056516295153,-5.94410322684471,-8.32174451758259,-19.0211303259031,3.56646193610683,10.6993858083205
0.03,-10,-6.25,-8.75,-20,3.75,11.25
0.031,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.032,-8.09016994374948,-5.05635621484342,-7.07889870078079,-16.180339887499,3.03381372890605,9.10144118671816
0.033,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.61258408829031
0.034,-3.09016994374946,-1.93135621484341,-2.70389870078078,-6.18033988749892,1.15881372890605,3.47644118671814
0.035,1.28649811974131e-14,8.04061324838318e-15,1.12568585477365e-14,2.57299623948262e-14,-4.82436794902991e-15,-1.44731038470897e-14
0.036,3.09016994374949,1.93135621484343,2.7038987007808,6.18033988749897,-1.15881372890606,-3.47644118671817
0.037,5.87785252292473,3.67365782682795,5.14312095755914,11.7557050458495,-2.20419469609677,-6.61258408829032
0.038,8.09016994374947,5.05635621484342,7.07889870078079,16.1803398874989,-3.03381372890605,-9.10144118671816
0.039,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.04,10,6.25,8.75,20,-3.75,-11.25
0.041,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.042,8.09016994374947,5.05635621484342,7.07889870078078,16.1803398874989,-3.03381372890605,-9.10144118671815
0.043,5.87785252292472,3.67365782682795,5.14312095755913,11.7557050458494,-2.20419469609677,-6.61258408829031
0.044,3.09016994374948,1.93135621484342,2.70389870078079,6.18033988749896,-1.15881372890605,-3.47644118671816
0.045,6.12323399573677e-15,3.82702124733548e-15,5.35782974626967e-15,1.22464679914735e-14,-2.29621274840129e-15,-6.88863824520386e-15
0.046,-3.09016994374945,-1.93135621484341,-2.70389870078077,-6.1803398874989,1.15881372890604,3.47644118671813
0.047,-5.87785252292473,-3.67365782682795,-5.14312095755913,-11.7557050458495,2.20419469609677,6.61258408829032
0.048,-8.09016994374948,-5.05635621484343,-7.0788987007808,-16.180339887499,3.03381372890606,9.10144118671817
0.049,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.05,-10,-6.25,-8.75,-20,3.75,11.25
0.051,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.052,-8.09016994374947,-5.05635621484342,-7.07889870078078,-16.1803398874989,3.03381372890605,9.10144118671815
0.053,-5.87785252292471,-3.67365782682794,-5.14312095755912,-11.7557050458494,2.20419469609677,6.6125840882903
0.054,-3.0901699437495,-1.93135621484344,-2.70389870078081,-6.180339887499,1.15881372890606,3.47644118671818
0.055,-7.34788079488412e-15,-4.59242549680257e-15,-6.4293956955236e-15,-1.46957615897682e-14,2.75545529808154e-15,8.26636589424463e-15
0.056,3.09016994374948,1.93135621484343,2.7038987007808,6.18033988749897,-1.15881372890606,-3.47644118671817
0.057,5.87785252292475,3.67365782682797,5.14312095755916,11.7557050458495,-2.20419469609678,-6.61258408829035
0.058,8.09016994374946,5.05635621484341,7.07889870078078,16.1803398874989,-3.03381372890605,-9.10144118671814
0.059,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.06,10,6.25,8.75,20,-3.75,-11.25
0.061,9.51056516295153,5.9441032268447,8.32174451758259,19.0211303259031,-3.56646193610682,-10.6993858083205
0.062,8.09016994374949,5.05635621484343,7.0788987007808,16.180339887499,-3.03381372890606,-9.10144118671818
0.063,5.87785252292474,3.67365782682796,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829033
0.064,3.09016994374947,1.93135621484342,2.70389870078078,6.18033988749893,-1.15881372890605,-3.47644118671815
0.065,-2.69546091939735e-14,-1.68466307462335e-14,-2.35852830447268e-14,-5.39092183879471e-14,1.01079784477401e-14,3.03239353432202e-14
0.066,-3.09016994374952,-1.93135621484345,-2.70389870078083,-6.18033988749903,1.15881372890607,3.47644118671821
0.067,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.61258408829032
0.068,-8.09016994374948,-5.05635621484342,-7.07889870078079,-16.180339887499,3.03381372890605,9.10144118671817
0.069,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.07,-10,-6.25,-8.75,-20,3.75,11.25
0.071,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.072,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671815
0.073,-5.87785252292477,-3.67365782682798,-5.14312095755917,-11.7557050458495,2.20419469609679,6.61258408829036
0.074,-3.0901699437495,-1.93135621484344,-2.70389870078081,-6.180339887499,1.15881372890606,3.47644118671819
0.075,-9.79717439317883e-15,-6.12323399573677e-15,-8.57252759403147e-15,-1.95943487863577e-14,3.67394039744206e-15,1.10218211923262e-14
0.076,3.09016994374948,1.93135621484343,2.7038987007808,6.18033988749896,-1.15881372890606,-3.47644118671817
0.077,5.87785252292475,3.67365782682797,5.14312095755916,11.7557050458495,-2.20419469609678,-6.61258408829035
0.078,8.09016994374946,5.05635621484341,7.07889870078078,16.1803398874989,-3.03381372890605,-9.10144118671814
0.079,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.08,10,6.25,8.75,20,-3.75,-11.25
0.081,9.51056516295153,5.9441032268447,8.32174451758259,19.0211303259031,-3.56646193610682,-10.6993858083205
0.082,8.09016994374945,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890604,-9.10144118671813
