time,e1,e2,i21
0,6.66666666666667,-3.33333333333333,-6.66666666666667
0.001,6.34037677530102,-3.17018838765051,-6.34037677530102
0.002,5.39344662916632,-2.69672331458316,-5.39344662916632
0.003,3.91856834861649,-1.95928417430824,-3.91856834861649
0.004,2.06011329583298,-1.03005664791649,-2.06011329583298
0.005,8.16431199431569e-16,-4.08215599715784e-16,-8.16431199431569e-16
0.006,-2.06011329583298,1.03005664791649,2.06011329583298
0.007,-3.91856834861649,1.95928417430824,3.91856834861649
0.008,-5.39344662916632,2.69672331458316,5.39344662916632
0.009,-6.34037677530102,3.17018838765051,6.34037677530102
0.01,-6.66666666666667,3.33333333333333,6.66666666666667
0.011,-6.34037677530102,3.17018838765051,6.34037677530102
0.012,-5.39344662916632,2.69672331458316,5.39344662916632
0.013,-3.91856834861648,1.95928417430824,3.91856834861648
0.014,-2.06011329583298,1.03005664791649,2.06011329583298
0.015,-1.63286239886314e-15,8.16431199431569e-16,1.63286239886314e-15
0.016,2.06011329583298,-1.03005664791649,-2.06011329583298
0.017,3.91856834861649,-1.95928417430824,-3.91856834861649
0.018,5.39344662916632,-2.69672331458316,-5.39344662916632
0.019,6.34037677530102,-3.17018838765051,-6.34037677530102
0.02,6.66666666666667,-3.33333333333333,-6.66666666666667
0.021,6.34037677530102,-3.17018838765051,-6.34037677530102
0.022,5.39344662916632,-2.69672331458316,-5.39344662916632
0.023,3.91856834861649,-1.95928417430824,-3.91856834861649
0.024,2.06011329583297,-1.03005664791649,-2.06011329583297
0.025,2.44929359829471e-15,-1.22464679914735e-15,-2.44929359829471e-15
0.026,-2.06011329583299,1.0300566479165,2.06011329583299
0.027,-3.91856834861649,1.95928417430824,3.91856834861649
0.028,-5.39344662916632,2.69672331458316,5.39344662916632
0.029,-6.34037677530102,3.17018838765051,6.34037677530102
0.03,-6.66666666666667,3.33333333333333,6.66666666666667
0.031,-6.34037677530103,3.17018838765051,6.34037677530103
0.032,-5.39344662916632,2.69672331458316,5.39344662916632
0.033,-3.91856834861648,1.95928417430824,3.91856834861648
0.034,-2.06011329583297,1.03005664791649,2.06011329583297
0.035,8.57665413160873e-15,-4.28832706580436e-15,-8.57665413160873e-15
0.036,2.06011329583299,-1.0300566479165,-2.06011329583299
0.037,3.91856834861648,-1.95928417430824,-3.91856834861648
0.038,5.39344662916631,-2.69672331458316,-5.39344662916631
0.039,6.34037677530102,-3.17018838765051,-6.34037677530102
0.04,6.66666666666667,-3.33333333333333,-6.66666666666667
0.041,6.34037677530102,-3.17018838765051,-6.34037677530102
0.042,5.39344662916631,-2.69672331458316,-5.39344662916631
0.043,3.91856834861648,-1.95928417430824,-3.91856834861648
0.044,2.06011329583299,-1.03005664791649,-2.06011329583299
0.045,4.08215599715784e-15,-2.04107799857892e-15,-4.08215599715784e-15
0.046,-2.06011329583297,1.03005664791648,2.06011329583297
0.047,-3.91856834861648,1.95928417430824,3.91856834861648
0.048,-5.39344662916632,2.69672331458316,5.39344662916632
0.049,-6.34037677530103,3.17018838765051,6.34037677530103
0.05,-6.66666666666667,3.33333333333333,6.66666666666667
0.051,-6.34037677530103,3.17018838765051,6.34037677530103
0.052,-5.39344662916631,2.69672331458316,5.39344662916631
0.053,-3.91856834861647,1.95928417430824,3.91856834861647
0.054,-2.060113295833,1.0300566479165,2.060113295833
0.055,-4.89858719658941e-15,2.44929359829471e-15,4.89858719658941e-15
0.056,2.06011329583299,-1.03005664791649,-2.06011329583299
0.057,3.9185683486165,-1.95928417430825,-3.9185683486165
0.058,5.39344662916631,-2.69672331458315,-5.39344662916631
