time,e1,e2,e3,e4,i1
0,345,0,0,0,-69
0.001,328.114498121828,32.0329290012603,0.0211142643275123,31.491502959198,-59.2163138241135
0.002,279.110863059357,57.8016284732772,0.121716925659668,55.7615322544636,-44.2618469172159
0.003,202.785912040903,75.0116894348777,0.365017599455984,70.8025210647674,-25.5548445212051
0.004,106.610863059357,82.1948231693572,0.78947283904693,75.4886791472298,-4.88320797799995
0.005,4.22503145705837e-14,78.8529702162922,1.40582045364276,69.6869494576117,15.7705940432584
0.006,-106.610863059357,65.5074279682819,2.19679527990057,54.2707815701313,34.4236582055278
0.007,-202.785912040903,43.6481887858603,3.11955428699063,31.0353736876513,49.2868201653527
0.008,-279.110863059357,15.5884484892361,4.11057375144963,2.52267983432115,58.9398623097186
0.009,-328.114498121828,-15.7614724602603,5.09253931865445,-28.2266884834465,62.4706051323135
0.01,-345,-47.1786644453059,5.98255475276798,-57.9703808824734,59.5642671109388
0.011,-328.114498121828,-75.4427681587654,6.70086615549249,-83.5809829234311,50.5343459926125
0.012,-279.110863059357,-97.6508697267695,7.17924803506321,-102.351449284578,36.2919986665175
0.013,-202.785912040903,-111.501327163879,7.36823076369441,-112.259397887776,18.2569169754048
0.014,-106.610863059357,-115.518745124362,7.24246242825613,-112.164394589435,-1.78157641300097
0.015,-8.45006291411674e-14,-109.198075790155,6.80368074818037,-101.918917424005,-21.8396151580311
0.016,106.610863059357,-93.053740286314,6.08100472534107,-82.3821390479823,-39.9329206691342
0.017,202.785912040903,-68.5689623121986,5.12851809812513,-55.3351788676036,-54.2709748706204
0.018,279.110863059357,-38.0502736377963,4.02038180972252,-23.306121162019,-63.4322273394306
0.019,328.114498121828,-4.40143358383185,2.84395461519057,10.6780717662792,-66.503186341132
0.02,345,29.1611070503991,1.69159596275943,43.3884663778659,-63.1677785899202
0.021,328.114498121828,59.4233450919355,0.651954303087889,71.7108207740506,-53.7382306059785
0.022,279.110863059357,83.4886189604482,-0.198405623450804,92.9510059873925,-39.1244488197817
0.023,202.785912040903,99.0614333113438,-0.802216130000521,105.099288446886,-20.7448957459119
0.024,106.610863059356,104.672431447963,-1.12685363330037,107.027603373465,-0.387686322278597
0.025,1.26750943711751e-13,99.8224934603272,-1.16729515679401,98.600508217974,19.9644986920654
0.026,-106.610863059357,85.0318545872909,-0.946394023805525,80.6889548968445,38.3285435293297
0.027,-202.785912040903,61.7894355862233,-0.512446884912145,55.0855323997712,52.9150695254253
0.028,-279.110863059357,32.407344845749,0.0657106393598118,24.329476157316,62.3036415810212
0.029,-328.114498121828,-0.205205562745739,0.705600506069453,-8.54142673761782,65.5818585118164
0.03,-345,-32.826439362483,1.31931678382697,-40.2877513692389,62.4347121275034
0.031,-328.114498121828,-62.237158497653,1.82225495301758,-67.7851040162822,53.175467924835
0.032,-279.110863059357,-85.5356402846476,2.14150235788312,-88.3295486425079,38.7150445549419
0.033,-202.785912040903,-100.421465057908,2.22306935706664,-99.9018936056502,20.472889396599
0.034,-106.610863059356,-105.420491363612,2.03725418958943,-101.364968333111,0.238074339148866
0.035,4.43841851310752e-13,-100.028956625753,1.58161724583832,-92.5745790774707,-20.0057913251507
0.036,106.610863059357,-84.7625977542849,0.881274426885518,-74.3932825154116,-38.2746921627284
0.037,202.785912040903,-61.105983457547,-0.0135183144351593,-48.6056287794088,-52.77837909969
0.038,279.110863059357,-31.3670179774812,-1.03225201718384,-17.743170331104,-62.0955762073676
0.039,328.114498121828,1.54914156920367,-2.09104419071577,15.1636342034476,-65.3130713105248
0.04,345,34.4246237200084,-3.10083656529634,46.8823361206166,-62.1150752559983
0.041,328.114498121828,64.0439844905847,-3.97610793281402,74.2951687303486,-52.8141027262486
0.042,279.110863059357,87.5091042708483,-4.64324849803868,94.704477708552,-38.3203517577017
0.043,202.785912040903,102.523015561267,-5.04777531868871,106.097012415051,-20.0525792959272
0.044,106.610863059357,107.614878598069,-5.15968187978053,107.341207882037,0.20080310774237
0.045,2.11251572852918e-13,102.284082785002,-4.97639751723801,98.2981465408854,20.4568165570004
0.046,-106.610863059356,87.0493683922336,-4.52306639644271,79.835338404308,38.7320462903179
0.047,-202.785912040903,63.3981602736181,-3.85011815854109,53.7419712456082,53.2368144629042
0.048,-279.110863059357,33.6410733082416,-3.0283674845321,22.5539271357258,62.5503872735197
0.049,-328.114498121828,0.685831735358597,-2.14212174084607,-10.694305590205,65.7600659714374
0.05,-345,-32.2472671085633,-1.28097087998727,-42.7665398691628,62.5505465782873
0.051,-328.114498121828,-61.9404920916966,-0.53106278682106,-70.5415530797016,53.2348012060263
0.052,-279.110863059357,-85.4935724217692,0.0332823439371207,-91.3185081489439,38.7234581275175
0.053,-202.785912040902,-100.607522399604,0.356798173631974,-103.081235348034,20.4356779282596
0.054,-106.610863059358,-105.809613858022,0.408631973007048,-104.695504526518,0.16024984026711
0.055,-2.53501887423502e-13,-100.597474222,0.185313678598907,-96.0199768977916,-20.1194948444
0.056,106.610863059357,-85.4882046690935,-0.288956039517027,-77.9199751354683,-38.4198135456901
0.057,202.785912040904,-61.9677101597599,-0.964726581360077,-52.1827233637123,-52.9507244401328
0.058,279.110863059356,-32.3452010617949,-1.77218983587227,-21.3423534418618,-62.2912128242303
0.059,328.114498121828,0.472891443906463,-2.62806504348772,11.568193347115,-65.5283213355843
0.06,345,33.2674556497741,-3.44380191967611,43.3140841007499,-62.3465088700452
0.061,328.114498121828,62.8218427237979,-4.134298838357,70.7752676900623,-53.058531079606
0.062,279.110863059357,86.2367650048317,-4.62628247790259,91.2519060137614,-38.5748196109052
0.063,202.785912040903,101.214124960164,-4.8655284915223,102.728665834594,-20.314357416148
0.064,106.610863059357,106.281991856324,-4.82221623228755,104.072000920367,-0.065774240606526
0.065,-9.29934017192087e-13,100.938704063907,-4.49389323380415,95.141113575909,20.1877408127816
0.066,-106.610863059358,85.7019914609841,-3.90575913947172,76.8017343019981,38.4625709040685
0.067,-202.785912040903,62.0583096910458,-3.10824118161282,50.8413711425436,52.9688443463898
0.068,-279.110863059357,32.3173459867286,-2.17209845014439,19.7943251005938,62.2856418092171
0.069,-328.114498121828,-0.614061265632919,-1.18153410530454,-13.3063992850324,65.5000873712391
0.07,-345,-33.5164587055321,-0.225989699929766,-45.2260031147036,62.2967082588936
0.071,-328.114498121828,-63.1729173561097,0.608575205129842,-72.8445581646861,52.9883161531437
0.072,-279.110863059357,-86.6839269473126,1.24806455284796,-93.4624300699938,38.4853872224088
0.073,-202.785912040904,-101.751220982576,1.6374680086565,-105.064562384551,20.2069382116658
0.074,-106.610863059358,-106.902749608187,1.74621693388855,-106.517751249701,-0.0583773097658273
0.075,-3.38002516564669e-13,-101.636778213514,1.57114983272209,-97.6815997641811,-20.3273556427028
0.076,106.610863059357,-86.4710062332923,1.13679698311516,-79.4222907968305,-38.6163738585299
0.077,202.785912040904,-62.8918979137714,0.492956370371392,-53.5278298070749,-53.1355619909351
0.078,279.110863059356,-33.2091847591083,-0.290201819885519,-22.5330540560486,-62.4640095636929
0.079,328.114498121828,-0.329781837433124,-1.12902297801129,10.5284626989039,-65.6888559918522
0.08,345,32.5267515346057,-1.93457393396405,42.4213249389035,-62.4946496930789
0.081,328.114498121828,62.1433541600049,-2.62136370859813,70.0249856590888,-53.1942287923646
0.082,279.110863059356,85.6203601669446,-3.11572555738288,90.6391744720988,-38.6981005784823
0.083,202.785912040904,100.659326828118,-3.36303987091597,102.248186274352,-20.4253170425571
0.084,106.610863059357,105.788010051837,-3.33309096555883,103.718160210817,-0.164570601503932
0.085,-8.4543338805092e-13,100.504465472473,-3.02303346871902,94.9080380369236,20.1008930944948
0.086,-106.610863059358,85.3261696113433,-2.45767799564054,76.6833406252299,38.3874065341403
0.087,-202.785912040905,61.7393528702423,-1.68706822326712,50.8314141889362,52.9050529822294
0.088,-279.110863059357,32.0535040748737,-0.781586605452921,19.8864426128282,62.2328734268461
0.089,-328.114498121827,-0.824711251088914,0.17493211108518,-13.1186450073258,65.4579573741477
0.09,-345,-33.6759883608085,1.09340539945738,-44.9490865206832,62.2648023278383
0.091,-328.114498121828,-63.2835239370764,1.88822230502066,-72.4849546750126,52.9661948369503
0.092,-279.110863059357,-86.7479117053497,2.48562405242694,-93.0265831455989,38.4725902708014
0.093,-202.785912040903,-101.770968780739,2.83092548121858,-104.558853364325,20.2029886520327
0.094,-106.610863059358,-106.880709803944,2.89387035225524,-105.948471874458,-0.0539693489172137
0.095,-4.22503145705837e-13,-101.575446790454,2.67159623786666,-97.0549272994366,-20.3150893580906
0.096,106.610863059357,-86.3729091606745,2.18891870038142,-78.744265662768,-38.5967544440063
0.097,202.785912040904,-62.7595757095385,1.49590687181542,-52.8043356205691,-53.1090975500885
0.098,279.110863059358,-33.0451782290302,0.662987685652826,-21.7697999866891,-62.4312082576776
0.099,328.114498121828,-0.136618960423249,-0.225942073775277,11.325957359155,-65.6502234164502
0.1,345,32.7465676073381,-1.08172172812115,43.2477440945617,-62.4506864785324
0.101,328.114498121828,62.3873560263813,-1.81864747408863,70.8752277218861,-53.1454284190893
0.102,279.110863059356,85.8861260522506,-2.3628543750817,91.5083617677332,-38.6449474014211
0.103,202.785912040902,100.944489457826,-2.65953914528104,103.131672649649,-20.3682845166151
0.104,106.610863059354,106.090264558107,-2.67831676482875,104.611536945537,-0.10411970024948
0.105,-7.60932758909752e-13,100.821576374478,-2.4161866358603,95.807138163885,20.1643152748958
0.106,-106.610863059358,85.6559769104083,-1.89781798130752,77.5842417614495,38.4533679939533
0.107,-202.785912040903,62.0797773014007,-1.17312659693963,51.7304399792134,52.9731378684607
0.108,-279.110863059357,32.4025515568542,-0.312380205647935,20.7801628855512,62.3026829232422
0.109,-328.114498121828,-0.468945925207933,0.600688422078599,-12.2334152742718,65.5291104393241
0.11,-345,-33.31531855001,1.47708640650248,-44.0752893282167,62.336936289998
0.111,-328.114498121827,-62.9196688537475,2.23128056272111,-71.6252921320914,53.038965853616
0.112,-279.110863059357,-86.3824947497184,2.78957848139927,-92.1835215087511,38.5456736619277
0.113,-202.785912040903,-101.405516467008,3.09735045628234,-103.734627899656,20.276079114779
0.114,-106.610863059356,-106.516651237299,3.12438529718715,-105.145092457295,0.0188423644112987
0.115,1.94436866352534e-12,-101.214113654841,2.86785573797678,-96.2741846698936,-20.2428227309687
0.116,106.610863059357,-86.0155361780335,2.35260314098242,-77.9877382587613,-38.5252798474781
0.117,202.785912040904,-62.4073015321127,1.6287136076675,-52.0733969131322,-53.0386427146033
0.118,279.110863059358,-32.6990467273862,0.766622743676805,-21.0656262458622,-62.3619819573488
0.119,328.114498121829,0.202419129108329,-0.149771758819298,12.0023789361306,-65.5824157985441
0.12,345,33.0776527109177,-1.03131554769432,43.8956069575073,-62.3844694578165
0.121,328.114498121828,62.7097174705055,-1.79231785459145,71.4938973056467,-53.0809561302645
0.122,279.110863059356,86.1990795438056,-2.35893296817662,92.0973666515495,-38.5823567031101
0.123,202.785912040904,101.247434337646,-2.67638250861501,103.690695592134,-20.3076955406516
0.124,106.610863059357,106.382680857974,-2.71431154362468,105.140405845963,-0.0456364402764606
0.125,-6.76432129768585e-13,101.103021706131,-2.46975425734997,96.3058169970183,20.2206043412263
0.126,-106.610863059358,85.9260832136944,-1.96741887531852,78.0528215297953,38.5073892546105
0.127,-202.785912040905,62.3382474773299,-1.25726395713093,52.1691297231445,53.0248319036469
0.128,-279.110863059357,32.6491560098529,-0.409603306919478,21.1892807885579,62.352003813842
0.129,-328.114498121828,-0.234372812940542,0.49178133359134,-11.8534506511938,65.5760250617775
0.13,-345,-33.0928819905678,1.35784563369045,-43.7239676521225,62.3814236018864
0.131,-328.114498121827,-62.7094172519295,2.10300287024571,-71.3020197156906,53.0810161739796
0.132,-279.110863059355,-86.1844233090989,2.65350538265256,-91.8876295150766,38.5852879500513
0.133,-202.785912040903,-101.219570786342,2.95466685592404,-103.465380311627,20.3132682509121
0.134,-106.610863059356,-106.342730881283,2.97621847035587,-104.901693792707,0.053626435614575
0.135,1.85986803438417e-12,-101.052075684546,2.7152746271141,-96.055787424958,-20.2104151369096
0.136,106.610863059359,-85.8651986276319,2.1966179511462,-77.7934500657812,-38.4952123373982
0.137,202.785912040904,-62.2684468197308,1.47027568123901,-51.9022874002725,-53.0108717721269
0.138,279.110863059358,-32.5714249891409,0.606624695477948,-20.9167335891892,-62.3364576096997
0.139,328.114498121829,0.319086791678749,-0.310495664793769,12.1300417760405,-65.55908226603
0.14,345,33.1836710786955,-1.19198879846566,44.0030463200998,-62.3632657842609
0.141,328.114498121827,62.8054141575007,-1.95222088351938,71.5821332399031,-53.0618167928653
0.142,279.110863059356,86.284802057292,-2.51740216324657,92.1674276525677,-38.5652122004128
0.143,202.785912040902,101.323547253306,-2.83280905108737,103.743613665234,-20.2924729575191
