time,e1,e2,e3
0,10,6.25,0
0.001,9.33082656618467,5.89128269551008,0.238064366578629
0.002,7.75450327233356,4.95692415704626,0.44143844735116
0.003,5.42507814799897,3.53834912289223,0.590701121571477
0.004,2.57032868413541,1.77438232171014,0.671707576502054
0.005,-0.530535060224294,-0.16234072220831,0.6769747617275
0.006,-3.57420191068846,-2.08227251729231,0.606414707551899
0.007,-6.26295019738652,-3.79750789169474,0.467343926687373
0.008,-8.33379121802258,-5.14017751616696,0.273767980388619
0.009,-9.58421277960644,-5.97888017673372,0.045011242081209
0.01,-9.89200286232315,-6.23154529192589,-0.196174011895693
0.011,-9.22721292786464,-5.87346660185988,-0.425834087777936
0.012,-7.65508982088514,-4.93972063579228,-0.621157990956295
0.013,-5.32968926924643,-3.52173322178114,-0.762709714008468
0.014,-2.47879613872866,-1.7583301324931,-0.836330183150768
0.015,0.618372446699766,0.17785210762236,-0.834522686259968
0.016,3.65849854457885,2.09726504884083,-0.757186166083829
0.017,6.34385400136164,3.8120026014007,-0.611624597801296
0.018,8.41144390351663,5.15419455668723,-0.411831532042658
0.019,9.65875010780989,5.99243885828748,-0.177119836374814
0.02,9.96355489420691,6.24466411767144,0.0697692351684909
0.021,9.29590426369725,5.88616330178486,0.30489254789632
0.022,7.72103982968475,4.95201219917985,0.505449222507537
0.023,5.39301230859043,3.53363592831197,0.652012941771788
0.024,2.53960176532605,1.7698595820404,0.73043391484647
0.025,-0.55997927528467,-0.166680966449642,0.733224322413093
0.026,-3.60241727668014,-2.08643789135432,0.660291626283091
0.027,-6.28998830608603,-3.80150570063769,0.518947962664302
0.028,-8.35970149339754,-5.14401475831662,0.323194700227383
0.029,-9.60904256891398,-5.98256355656998,0.0923521960050033
0.03,-9.91579752338009,-6.23508123242998,-0.150831121269702
0.031,-9.25001591265019,-5.87686125634258,-0.382405243744862
0.032,-7.67694275563031,-4.94297989922515,-0.579562707824823
0.033,-5.35063203115776,-3.52486274165151,-0.722870888711628
0.034,-2.49886692948773,-1.76133531920299,-0.798173953092632
0.035,0.599137030525583,0.174966070794434,-0.797978293136226
0.036,3.64006344408458,2.09449319619657,-0.722185825425178
0.037,6.32618563068743,3.80934017567985,-0.578103373999162
0.038,8.39451008794607,5.15163700030958,-0.379727218626853
0.039,9.64252002446955,5.98998180496286,-0.146372841322419
0.04,9.94799901525796,6.24230338436234,0.0992159993044446
0.041,9.28099430191441,5.88389488100673,0.333093769240919
0.042,7.70674868632223,4.94983225162511,0.532457290694841
0.043,5.37931402343868,3.53154077578376,0.677878044538354
0.044,2.52647146886747,1.76784570068358,0.755204130565621
0.045,-0.572565407709696,-0.168616952633439,0.756945708740501
0.046,-3.6144820687807,-2.08829921671866,0.683008305077107
0.047,-6.3015536226834,-3.80329546384273,0.540702201337585
0.048,-8.37078828071989,-5.14573592802999,0.344026989679784
0.049,-9.61967089319797,-5.98421897692838,0.112301325281393
0.05,-9.92598660785021,-6.23667362827114,-0.131727993459045
0.051,-9.2597841729441,-5.87839323821742,-0.364112520509446
0.052,-7.68630783373546,-4.94445396819927,-0.562046288458423
0.053,-5.35961082792187,-3.52628129390493,-0.706098105815037
0.054,-2.50747563576308,-1.76270065043662,-0.782113512338792
0.055,0.590882904046843,0.173651761137614,-0.782600215566663
0.056,3.63214903828858,2.09322780088751,-0.707461392171399
0.057,6.31859671065811,3.80812167582955,-0.564005073327088
0.058,8.38723301673516,5.1504634616578,-0.366228695206666
0.059,9.63554173796915,5.98885137432315,-0.133448847630308
0.06,9.94130699812865,6.24121428621596,0.111589649542236
0.061,9.27457656452524,5.88284541424017,0.344940245647563
0.062,7.70059374265969,4.94882078640433,0.543798788968139
0.063,5.37341086994396,3.5305657505601,0.688735827380455
0.064,2.52080956416314,1.76690561932513,0.765598566892697
0.065,-0.577996162241017,-0.169523523589463,0.766896311244663
0.066,-3.61969134760164,-2.08917365069858,0.692533766209813
0.067,-6.30655069392509,-3.80413907675796,0.549820427780869
0.068,-8.37558202325659,-5.14654998069316,0.352755135368851
0.069,-9.62426981300366,-5.98500467736741,0.120655823039473
0.07,-9.93039885366816,-6.23743213394643,-0.123731401615287
0.071,-9.26401755129785,-5.87912565814567,-0.356458754338062
0.072,-7.69036982330896,-4.9451613649882,-0.554720901680371
0.073,-5.36350859333542,-3.52696468570242,-0.699087259471153
0.074,-2.51121604077002,-1.76336101279787,-0.775403949266407
0.075,0.587293283917369,0.17301349346115,-0.776179235948837
0.076,3.6287039036208,2.09261073223458,-0.701316830113672
0.077,6.31529002654742,3.80752494798749,-0.558125274418585
0.078,8.38405900167353,5.14988625228991,-0.360602495024182
0.079,9.63249485319763,5.98829289546209,-0.128065551145744
0.08,9.93838193743729,6.24067378282056,0.116740287689043
0.081,9.27176824448168,5.8823221628128,0.34986804004699
0.082,7.69789729324833,4.94831409366638,0.548513141544739
0.083,5.37082162559868,3.53007495218321,0.693245744736114
0.084,2.5183230551765,1.76643007871554,0.769912676920948
0.085,-0.580384217947218,-0.169984416455303,0.771022879046798
0.086,-3.62198505236015,-2.08962048038957,0.696480709342122
0.087,-6.30875397787568,-3.80457240345701,0.553595330861125
0.088,-8.37769865158091,-5.14697034122084,0.356365264068967
0.089,-9.62630339285661,-5.98541258616284,0.124108137490111
0.09,-9.93235284081747,-6.23782808400679,-0.120430233983415
0.091,-9.26589525648478,-5.87951012192611,-0.353302346492553
0.092,-7.69217441834181,-4.94553479526426,-0.551703135202461
0.093,-5.36524311692683,-3.52732751639583,-0.696202273266287
0.094,-2.51288340412932,-1.76371365976815,-0.772646128749256
