time,e1,e2,e3,i0
0,10,0,10,0
0.001,9.51056516295154,17.6566200569697,9.42228206266669,-0.882831002848486
0.002,8.09016994374947,1.46741534402119,8.08283286702937,-0.0733707672010596
0.003,5.87785252292473,11.4389245070905,5.82065790038928,-0.571946225354526
0.004,3.09016994374947,-1.25267349524228,3.09643331122569,0.0626336747621139
0.005,1.22471477403963e-15,3.82247914655542,-0.0191123957327759,-0.191123957327771
0.006,-3.09016994374947,-5.92716160306075,-3.06053413573417,0.296358080153037
0.007,-5.87785252292473,-3.26148526326174,-5.86154509660842,0.163074263163087
0.008,-8.09016994374947,-9.96957312526907,-8.04032207812313,0.498478656263454
0.009,-9.51056516295153,-7.76314156410181,-9.47174945513103,0.38815707820509
0.01,-10,-11.2985719886329,-9.94350714005684,0.564928599431647
0.011,-9.51056516295154,-8.40303847351921,-9.46854997058394,0.42015192367596
0.012,-8.09016994374948,-9.04614053227704,-8.04493924108809,0.452307026613852
0.013,-5.87785252292473,-5.23191428503482,-5.85169295149955,0.261595714251741
0.014,-3.09016994374948,-3.83089596264044,-3.07101546393627,0.191544798132022
0.015,-2.44921270764475e-15,0.340987242027257,-0.00170493621013873,-0.0170493621013628
0.016,3.09016994374947,2.51726379159711,3.07758362479149,-0.125863189579855
0.017,5.87785252292474,6.05420700025233,5.84758148792347,-0.302710350012617
0.018,8.09016994374948,7.68232138592385,8.05175833681986,-0.384116069296192
0.019,9.51056516295153,9.63641108818093,9.46238310751063,-0.481820554409047
0.02,10,9.76435577207945,9.9511782211396,-0.488217788603973
0.021,9.51056516295154,9.65956849703134,9.46226732046638,-0.482978424851567
0.022,8.09016994374948,8.01703675736439,8.05008475996265,-0.400851837868219
0.023,5.87785252292473,6.07475493326646,5.8474787482584,-0.303737746663323
0.024,3.09016994374946,3.14060565798013,3.07446691545956,-0.157030282899007
0.025,3.67392748168438e-15,0.224363640975063,-0.00112181820487164,-0.0112181820487531
0.026,-3.09016994374949,-2.98028872292481,-3.07526850013486,0.149014436146241
0.027,-5.87785252292473,-5.67498748635951,-5.84947758549293,0.283749374317976
0.028,-8.09016994374947,-7.99290388372746,-8.05020542433084,0.399645194186373
0.029,-9.51056516295153,-9.3820426171291,-9.46365494986589,0.469102130856455
0.03,-10,-9.97268470085946,-9.9501365764957,0.498634235042973
0.031,-9.51056516295154,-9.48894616169568,-9.46312043214306,0.474447308084784
0.032,-8.09016994374948,-8.15677722205106,-8.04938605763922,0.407838861102553
0.033,-5.87785252292472,-5.96030686037827,-5.84805098862283,0.298015343018914
0.034,-3.09016994374946,-3.23433914754013,-3.07399824801176,0.161716957377007
0.035,1.28650345584957e-14,-0.147595488891971,0.000737977444472721,0.00737977444459856
0.036,3.09016994374949,2.91741525900157,3.07558286745448,-0.145870762950078
0.037,5.87785252292473,5.72648113780796,5.84922011723569,-0.286324056890398
0.038,8.09016994374947,7.95073035018823,8.05041629199853,-0.397536517509412
0.039,9.51056516295154,9.4165829319282,9.46348224829189,-0.47082914659641
0.04,10,9.94439602674798,9.95027801986626,-0.497219801337399
0.041,9.51056516295153,9.51211471379603,9.46300458938255,-0.475605735689801
0.042,8.09016994374947,8.13780207304579,8.04948093338424,-0.406890103652289
0.043,5.87785252292472,5.97584759327398,5.84797328495835,-0.298792379663699
0.044,3.09016994374948,3.2216112169785,3.07406188766459,-0.161080560848925
