# seconds.nanoseconds(sequence)	sine
1550489592.082678200(794)	-0.951057
1550489592.083678200(795)	-1.000000
1550489592.084678200(796)	-0.951057
1550489592.085678200(797)	-0.809017
1550489592.086678200(798)	-0.587785
1550489592.087678200(799)	-0.309017
1550489592.088678200(800)	-0.000000
1550489592.089678200(801)	0.309017
1550489592.090678200(802)	0.587785
1550489592.091678200(803)	0.809017
1550489592.092678200(804)	0.951057
1550489592.093678200(805)	1.000000
1550489592.094678200(806)	0.951057
1550489592.095678200(807)	0.809017
1550489592.096678200(808)	0.587785
1550489592.097678200(809)	0.309017
1550489592.098678200(810)	0.000000
1550489592.099678200(811)	-0.309017
1550489592.100678200(812)	-0.587785
1550489592.101678200(813)	-0.809017
1550489592.102678200(814)	-0.951057
1550489592.103678200(815)	-1.000000
1550489592.104678200(816)	-0.951057
1550489592.105678200(817)	-0.809017
1550489592.106678200(818)	-0.587785
1550489592.107678200(819)	-0.309017
1550489592.108678200(820)	-0.000000
1550489592.109678200(821)	0.309017
1550489592.110678200(822)	0.587785
1550489592.111678200(823)	0.809017
1550489592.112678200(824)	0.951057
1550489592.113678200(825)	1.000000
1550489592.114678200(826)	0.951057
1550489592.115678200(827)	0.809017
1550489592.116678200(828)	0.587785
1550489592.117678200(829)	0.309017
1550489592.118678200(830)	-0.000000
1550489592.119678200(831)	-0.309017
1550489592.120678200(832)	-0.587785
1550489592.121678200(833)	-0.809017
1550489592.122678200(834)	-0.951057
1550489592.123678200(835)	-1.000000
1550489592.124678200(836)	-0.951057
1550489592.125678200(837)	-0.809017
1550489592.126678200(838)	-0.587785
1550489592.127678200(839)	-0.309017
1550489592.128678200(840)	0.000000
1550489592.129678200(841)	0.309017
1550489592.130678200(842)	0.587785
1550489592.131678200(843)	0.809017
1550489592.132678200(844)	0.951057
1550489592.133678200(845)	1.000000
1550489592.134678200(846)	0.951057
1550489592.135678200(847)	0.809017
1550489592.136678200(848)	0.587785
1550489592.137678200(849)	0.309017
1550489592.138678200(850)	-0.000000
1550489592.139678200(851)	-0.309017
1550489592.140678200(852)	-0.587785
1550489592.141678200(853)	-0.809017
1550489592.142678200(854)	-0.951057
1550489592.143678200(855)	-1.000000
1550489592.144678200(856)	-0.951057
1550489592.145678200(857)	-0.809017
1550489592.146678200(858)	-0.587785
1550489592.147678200(859)	-0.309017
1550489592.148678200(860)	0.000000
1550489592.149678200(861)	0.309017
1550489592.150678200(862)	0.587785
1550489592.151678200(863)	0.809017
1550489592.152678200(864)	0.951057
1550489592.153678200(865)	1.000000
1550489592.154678200(866)	0.951057
1550489592.155678200(867)	0.809017
1550489592.156678200(868)	0.587785
1550489592.157678200(869)	0.309017
1550489592.158678200(870)	-0.000000
1550489592.159678200(871)	-0.309017
1550489592.160678200(872)	-0.587785
1550489592.161678200(873)	-0.809017
1550489592.162678200(874)	-0.951057
1550489592.163678200(875)	-1.000000
1550489592.164678200(876)	-0.951057
1550489592.165678200(877)	-0.809017
1550489592.166678200(878)	-0.587785
1550489592.167678200(879)	-0.309017
1550489592.168678200(880)	-0.000000
1550489592.169678200(881)	0.309017
1550489592.170678200(882)	0.587785
1550489592.171678200(883)	0.809017
1550489592.172678200(884)	0.951057
1550489592.173678200(885)	1.000000
1550489592.174678200(886)	0.951057
1550489592.175678200(887)	0.809017
1550489592.176678200(888)	0.587785
1550489592.177678200(889)	0.309017
1550489592.178678200(890)	-0.000000
1550489592.179678200(891)	-0.309017
1550489592.180678200(892)	-0.587785
1550489592.181678200(893)	-0.809017
1550489592.182678200(894)	-0.951057
1550489592.183678200(895)	-1.000000
1550489592.184678200(896)	-0.951057
1550489592.185678200(897)	-0.809017
1550489592.186678200(898)	-0.587785
1550489592.187678200(899)	-0.309017
1550489592.188678200(900)	-0.000000
1550489592.189678200(901)	0.309017
1550489592.190678200(902)	0.587785
1550489592.191678200(903)	0.809017
1550489592.192678200(904)	0.951057
1550489592.193678200(905)	1.000000
1550489592.194678200(906)	0.951057
1550489592.195678200(907)	0.809017
1550489592.196678200(908)	0.587785
1550489592.197678200(909)	0.309017
1550489592.198678200(910)	0.000000
1550489592.199678200(911)	-0.309017
1550489592.200678200(912)	-0.587785
1550489592.201678200(913)	-0.809017
1550489592.202678200(914)	-0.951057
1550489592.203678200(915)	-1.000000
1550489592.204678200(916)	-0.951057
1550489592.205678200(917)	-0.809017
1550489592.206678200(918)	-0.587785
1550489592.207678200(919)	-0.309017
1550489592.208678200(920)	-0.000000
1550489592.209678200(921)	0.309017
1550489592.210678200(922)	0.587785
1550489592.211678200(923)	0.809017
1550489592.212678200(924)	0.951057
1550489592.213678200(925)	1.000000
1550489592.214678200(926)	0.951057
1550489592.215678200(927)	0.809017
1550489592.216678200(928)	0.587785
1550489592.217678200(929)	0.309017
1550489592.218678200(930)	0.000000
1550489592.219678200(931)	-0.309017
1550489592.220678200(932)	-0.587785
1550489592.221678200(933)	-0.809017
1550489592.222678200(934)	-0.951057
1550489592.223678200(935)	-1.000000
1550489592.224678200(936)	-0.951057
1550489592.225678200(937)	-0.809017
1550489592.226678200(938)	-0.587785
1550489592.227678200(939)	-0.309017
1550489592.228678200(940)	0.000000
1550489592.229678200(941)	0.309017
1550489592.230678200(942)	0.587785
1550489592.231678200(943)	0.809017
1550489592.232678200(944)	0.951057
1550489592.233678200(945)	1.000000
1550489592.234678200(946)	0.951057
1550489592.235678200(947)	0.809017
1550489592.236678200(948)	0.587785
1550489592.237678200(949)	0.309017
1550489592.238678200(950)	0.000000
1550489592.239678200(951)	-0.309017
1550489592.240678200(952)	-0.587785
1550489592.241678200(953)	-0.809017
1550489592.242678200(954)	-0.951057
1550489592.243678200(955)	-1.000000
1550489592.244678200(956)	-0.951057
1550489592.245678200(957)	-0.809017
1550489592.246678200(958)	-0.587785
1550489592.247678200(959)	-0.309017
1550489592.248678200(960)	0.000000
1550489592.249678200(961)	0.309017
1550489592.250678200(962)	0.587785
1550489592.251678200(963)	0.809017
1550489592.252678200(964)	0.951057
1550489592.253678200(965)	1.000000
1550489592.254678200(966)	0.951057
1550489592.255678200(967)	0.809017
1550489592.256678200(968)	0.587785
1550489592.257678200(969)	0.309017
1550489592.258678200(970)	-0.000000
1550489592.259678200(971)	-0.309017
1550489592.260678200(972)	-0.587785
1550489592.261678200(973)	-0.809017
1550489592.262678200(974)	-0.951057
1550489592.263678200(975)	-1.000000
1550489592.264678200(976)	-0.951057
1550489592.265678200(977)	-0.809017
1550489592.266678200(978)	-0.587785
1550489592.267678200(979)	-0.309017
1550489592.268678200(980)	0.000000
1550489592.269678200(981)	0.309017
1550489592.270678200(982)	0.587785
1550489592.271678200(983)	0.809017
1550489592.272678200(984)	0.951057
1550489592.273678200(985)	1.000000
1550489592.274678200(986)	0.951057
1550489592.275678200(987)	0.809017
1550489592.276678200(988)	0.587785
1550489592.277678200(989)	0.309017
1550489592.278678200(990)	-0.000000
1550489592.279678200(991)	-0.309017
1550489592.280678200(992)	-0.587785
1550489592.281678200(993)	-0.809017
1550489592.282678200(994)	-0.951057
1550489592.283678200(995)	-1.000000
1550489592.284678200(996)	-0.951057
1550489592.285678200(997)	-0.809017
1550489592.286678200(998)	-0.587785
1550489592.287678200(999)	-0.309017
