0,10,6.25,0
0.001,9.3308,5.8913,0.23806
0.002,7.7545,4.9569,0.44144
0.003,5.4251,3.5383,0.5907
0.004,2.5703,1.7744,0.67171
0.005,-0.53054,-0.16234,0.67697
0.006,-3.5742,-2.0823,0.60641
0.007,-6.263,-3.7975,0.46734
0.008,-8.3338,-5.1402,0.27377
0.009,-9.5842,-5.9789,0.045011
0.01,-9.892,-6.2315,-0.19617
0.011,-9.2272,-5.8735,-0.42583
0.012,-7.6551,-4.9397,-0.62116
0.013,-5.3297,-3.5217,-0.76271
0.014,-2.4788,-1.7583,-0.83633
0.015,0.61837,0.17785,-0.83452
0.016,3.6585,2.0973,-0.75719
0.017,6.3439,3.812,-0.61162
0.018,8.4114,5.1542,-0.41183
0.019,9.6588,5.9924,-0.17712
0.02,9.9636,6.2447,0.069769
0.021,9.2959,5.8862,0.30489
0.022,7.721,4.952,0.50545
0.023,5.393,3.5336,0.65201
0.024,2.5396,1.7699,0.73043
0.025,-0.55998,-0.16668,0.73322
0.026,-3.6024,-2.0864,0.66029
0.027,-6.29,-3.8015,0.51895
0.028,-8.3597,-5.144,0.32319
0.029,-9.609,-5.9826,0.092352
0.03,-9.9158,-6.2351,-0.15083
0.031,-9.25,-5.8769,-0.38241
0.032,-7.6769,-4.943,-0.57956
0.033,-5.3506,-3.5249,-0.72287
0.034,-2.4989,-1.7613,-0.79817
0.035,0.59914,0.17497,-0.79798
0.036,3.6401,2.0945,-0.72219
0.037,6.3262,3.8093,-0.5781
0.038,8.3945,5.1516,-0.37973
0.039,9.6425,5.99,-0.14637
0.04,9.948,6.2423,0.099216
0.041,9.281,5.8839,0.33309
0.042,7.7067,4.9498,0.53246
0.043,5.3793,3.5315,0.67788
0.044,2.5265,1.7678,0.7552
0.045,-0.57257,-0.16862,0.75695
0.046,-3.6145,-2.0883,0.68301
0.047,-6.3016,-3.8033,0.5407
0.048,-8.3708,-5.1457,0.34403
0.049,-9.6197,-5.9842,0.1123
0.05,-9.926,-6.2367,-0.13173
0.051,-9.2598,-5.8784,-0.36411
0.052,-7.6863,-4.9445,-0.56205
0.053,-5.3596,-3.5263,-0.7061
0.054,-2.5075,-1.7627,-0.78211
0.055,0.59088,0.17365,-0.7826
0.056,3.6321,2.0932,-0.70746
0.057,6.3186,3.8081,-0.56401
0.058,8.3872,5.1505,-0.36623
0.059,9.6355,5.9889,-0.13345
0.06,9.9413,6.2412,0.11159
0.061,9.2746,5.8828,0.34494
0.062,7.7006,4.9488,0.5438
0.063,5.3734,3.5306,0.68874
0.064,2.5208,1.7669,0.7656
0.065,-0.578,-0.16952,0.7669
0.066,-3.6197,-2.0892,0.69253
0.067,-6.3066,-3.8041,0.54982
0.068,-8.3756,-5.1465,0.35276
0.069,-9.6243,-5.985,0.12066
0.07,-9.9304,-6.2374,-0.12373
0.071,-9.264,-5.8791,-0.35646
0.072,-7.6904,-4.9452,-0.55472
0.073,-5.3635,-3.527,-0.69909
0.074,-2.5112,-1.7634,-0.7754
0.075,0.58729,0.17301,-0.77618
0.076,3.6287,2.0926,-0.70132
0.077,6.3153,3.8075,-0.55813
0.078,8.3841,5.1499,-0.3606
0.079,9.6325,5.9883,-0.12807
0.08,9.9384,6.2407,0.11674
0.081,9.2718,5.8823,0.34987
0.082,7.6979,4.9483,0.54851
0.083,5.3708,3.5301,0.69325
0.084,2.5183,1.7664,0.76991
0.085,-0.58038,-0.16998,0.77102
0.086,-3.622,-2.0896,0.69648
0.087,-6.3088,-3.8046,0.5536
0.088,-8.3777,-5.147,0.35637
0.089,-9.6263,-5.9854,0.12411
0.09,-9.9324,-6.2378,-0.12043
0.091,-9.2659,-5.8795,-0.3533
0.092,-7.6922,-4.9455,-0.5517
0.093,-5.3652,-3.5273,-0.6962
0.094,-2.5129,-1.7637,-0.77265
0.095,0.58569,0.17267,-0.77354
0.096,3.6272,2.0923,-0.6988
0.097,6.3138,3.8072,-0.55572
0.098,8.3826,5.1496,-0.3583
0.099,9.6311,5.988,-0.12587
0.1,9.9371,6.2404,0.11884
0.101,9.2705,5.882,0.35187
0.102,7.6967,4.948,0.55043
0.103,5.3696,3.5298,0.69508
0.104,2.5172,1.7662,0.77166
0.105,-0.58147,-0.17025,0.77269
0.106,-3.623,-2.0899,0.69807
0.107,-6.3098,-3.8048,0.55512
0.108,-8.3787,-5.1472,0.35782
0.109,-9.6272,-5.9857,0.12549
0.11,-9.9333,-6.2381,-0.11911
0.111,-9.2668,-5.8797,-0.35204
0.112,-7.693,-4.9458,-0.5505
0.113,-5.3661,-3.5275,-0.69506
0.114,-2.5137,-1.7639,-0.77155
0.115,0.58494,0.17246,-0.7725
0.116,3.6264,2.0921,-0.6978
0.117,6.3131,3.807,-0.55477
0.118,8.382,5.1494,-0.3574
0.119,9.6305,5.9878,-0.12501
0.12,9.9364,6.2402,0.11966
0.121,9.2699,5.8818,0.35265
0.122,7.6961,4.9478,0.55117
0.123,5.3691,3.5296,0.69578
0.124,2.5166,1.766,0.77233
0.125,-0.582,-0.17042,0.77333
0.126,-3.6235,-2.09,0.69868
0.127,-6.3103,-3.805,0.55569
0.128,-8.3792,-5.1474,0.35836
0.129,-9.6277,-5.9858,0.12601
0.13,-9.9337,-6.2382,-0.11862
0.131,-9.2672,-5.8799,-0.35158
0.132,-7.6934,-4.9459,-0.55006
0.133,-5.3665,-3.5277,-0.69464
0.134,-2.5141,-1.7641,-0.77116
0.135,0.58455,0.17231,-0.77213
0.136,3.6261,2.0919,-0.69745
0.137,6.3127,3.8069,-0.55444
0.138,8.3816,5.1492,-0.35709
0.139,9.6301,5.9877,-0.12471
0.14,9.9361,6.24,0.11994
0.141,9.2696,5.8817,0.35292
0.142,7.6958,4.9477,0.55142
0.143,5.3688,3.5295,0.69601
0.144,2.5163,1.7659,0.77255
0.145,-0.58229,-0.17055,0.77353
0.146,-3.6238,-2.0902,0.69887
0.147,-6.3105,-3.8051,0.55587
